"","Словарная статья","Жест","Тип жеста","H1 Выбранные пальцы","H1 Сгиб","H1 Апертура","H1 Ширина","H1 Невыбранные пальцы","H1 Фокус","Ориентация H1 к H2","H2 Выбранные пальцы","H2 Сгиб","H2 Апертура","H2 Ширина","H2 Невыбранные пальцы","Ориентация H2 к H1"
"44","10982--зарплата в конверте--MVI_2456.eaf","внутри","Type 2","all","straight","","pointed","","ulnar","back","all","straight","","pointed","","palm"
"45","10988--персик--MVI_2462.eaf","","Type 3","all","straight","","pointed","","ulnar/radial","palm","all","curved","open","wide","","back"
"46","1101--не иметь никакого дела--MVI_1573.eaf","быть.без.дела","Type 2","all","curved","","wide","","ulnar","tips","all","curved","","wide","","tips"
"47","11029--наказывать--MVI_2514.eaf","наказывать","Type 2","all","straight","","pointed","","palm/radial","palm","all","straight","","pointed","","back"
"48","11030--штраф--MVI_2515.eaf","штраф","Type 3","1-st/2-nd/3-rd","straight","","pointed","flexed","","tips","all","straight","","pointed","","palm"
"49","1104--Этот фильм я видел(а) три раза--MVI_1576.eaf","три.раза","Type 3","1-st/2-nd/3-rd","straight","","wide","flexed","ulnar","back","all","straight","","pointed","","palm"
"51","11058--перечница--MVI_2557.eaf","перечница","Type 3","all","curved","open","wide","","root","palm","all","curved","open","pointed","","radial"
"52","11088--постоянный--MVI_2601.eaf","постоянный","Type 3","3-rd","curved","closed","","straight","palm","palm","all","straight","","pointed","","palm"
"53","11179--врач--врач.eaf","врач","Type 3","1-st/2-nd","curved","","wide","flexed","palm","palm","all","fist","","","","back"
"54","11190--протыкать--протыкать.eaf","протыкать","Type 3","1-st/4-th","straight","","","flexed","tips","tips","all","straight","","pointed","","palm"
"58","11346--пневматическое ружье, пневматическая хлопушка--пневматическое ружье, пневматическая хлопушка.eaf","","Type 3","all","curved","open","wide","","","palm","all","straight","","wide","","palm"
"59","11369--ядовитый гриб--ядовитый гриб.eaf","гриб","Type 3","1-st","straight","","","flexed","tips","tips","all","straight","","pointed","","palm"
"61","11474--картофель--картофель.eaf","картофель","Type 2","1-st/2-nd","straight","","pointed","flexed","ulnar","back","1-st/2-nd","straight","","pointed","flexed","radial"
"62","11480--хваталка для горячего--хваталка для горячего.eaf","варежка","Type 3","1-st","straight","","","flexed","ulnar","palm","all","straight","","pointed","","radial/tips/ulnar"
"63","11516--хвалить--хвалить.eaf","хвалить","Type 3","thumb","straight","","","flexed","ulnar/root","back","all","straight","","pointed","","palm"
"65","11590--давление--давление.eaf","давление1","Type 2","all","fist","","","","palm","palm","all","fist","","","","palm"
"66","11592--заставлять--заставлять.eaf","заставлять","Type 3","1-st/2-nd","straight","","wide","flexed","tips","tips","all","straight","","pointed","","radial"
"67","11602--предотвращение--предотвращение.eaf","предотвращать","Type 2","1-st/2-nd","straight","","pointed","flexed","ulnar","ulnar","1-st/2-nd","straight","","pointed","flexed","radial"
"68","11606--раньше--раньше.eaf","раньше","Type 3","all","bent","","pointed","","palm","back","all","straight","","pointed","","palm"
"69","11637--принтер--принтер.eaf","принтер","Type 2","all","straight","","pointed","","tips","back","all","straight","","pointed","","palm"
"71","11674--продолжать делать--продолжать делать.eaf","продолжать","Type 2","all","straight","","pointed","","root","palm","all","straight","","pointed","","palm"
"72","11756--проституция--MVI_3514.eaf","проституция","Type 3","1-st/2-nd","curved","","wide","flexed","ulnar","root","all","straight","","pointed","","back"
"73","11771--доказывать--MVI_3537.eaf","доказывать","Type 3","1-st/2-nd","straight","","wide","flexed","ulnar/back","ulnar","all","straight","","pointed","","palm"
